Symbol	N01_AM_Naive_01	N02_AM_Naive_02	N03_AM_Naive_03	N04_AM_Naive_04	R01_AM_Allo_02H_01	R02_AM_Allo_02H_02	R03_AM_Allo_02H_03	R04_AM_Allo_02H_04	R05_AM_Allo_24H_01	R06_AM_Allo_24H_02	R07_AM_Allo_24H_03	R08_AM_Allo_24H_04
ENSMUSG00000000001	66.56726048	72.60438821	67.21728714	70.26340566	70.83947506	64.61690271	69.64227174	72.67388987	68.57908527	69.75482196	68.28656295	68.03185252
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	2.407605302	2.163267746	2.490078541	1.593701078	1.441733242	1.002869736	1.700592192	1.6666367	11.86141288	13.54167451	11.62651449	9.789111628
ENSMUSG00000000031	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037	0.00985157	0.00546406	0.01736768	0.014176506	0.012641491	0	0.010084892	0.011964271	0.028889985	0.015991504	0.018192736	0.018983706
ENSMUSG00000000049	0.213537044	0.142123025	0.050193595	0.184369136	0.14613855	0.217829968	0.087437759	0.103732301	0.06262029	0.103986826	0.078867083	0.041148003
ENSMUSG00000000056	3.778955701	3.320556517	3.193793633	3.818788055	1.961449518	0.685801688	0.67371977	2.062635936	4.062320322	5.32431968	4.449797147	3.395513219
ENSMUSG00000000058	26.89122799	28.28244968	29.32797748	29.40357471	21.74485843	18.92911569	23.64085738	26.54061991	23.04795211	28.1781852	24.87750207	25.43644065
ENSMUSG00000000078	102.2024854	114.6567815	101.9621055	110.8750021	101.7524225	79.08894575	81.13734681	102.543992	72.18056897	68.61792359	65.79113721	69.11910186
ENSMUSG00000000085	0.548194581	0.60809958	0.551361564	0.417184181	0.951448827	0.958911058	1.030624744	0.620946134	0.649220971	0.573271092	0.929602587	0.655143819
ENSMUSG00000000088	180.5812842	176.9202342	180.8648372	207.9340058	182.9525455	177.6006664	184.1834571	172.8847633	266.9539284	270.9289846	249.9552735	276.0624284
ENSMUSG00000000093	0.250826525	0.313015576	0.368492418	0.360941821	0.482789215	0.42644852	0.28886291	0.571157031	0.252847124	0.101788171	0.202648816	0.362501876
ENSMUSG00000000094	0.024923188	0.013823358	0	0	0.074623089	0	0.025513462	0	0	0.020228209	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0.03299104	0	0.15509617	0.047474428	0	0	0	0	0	0.080328767	0	0.031786414
ENSMUSG00000000125	0	0	0	0	0.031617427	0.031418692	0.075669478	0	0	0	0	0.071219755
ENSMUSG00000000126	0	0.056994802	0	0	0	0	0	0	0	0.013900418	0.015813812	0
ENSMUSG00000000127	2.264009323	2.769595888	2.635999848	2.314044835	2.588403936	1.672786582	1.797787368	2.569657415	3.350657552	4.001328426	3.94646595	3.465683459
ENSMUSG00000000131	3.130669817	3.188319909	3.172945987	2.99312588	4.085815483	3.781586021	3.573059644	3.391136318	3.081145858	2.939836578	3.235981625	2.992336396
ENSMUSG00000000134	2.109540385	1.894020828	2.130171353	1.861116386	2.294941495	2.32898371	2.521979052	2.434387871	1.711567279	1.568455608	1.590402203	1.636418908
ENSMUSG00000000142	0.028655803	0	0.011226294	0.041235981	0	0.016239942	0.039112639	0	0.007002824	0.023257682	0.017639403	0
ENSMUSG00000000148	2.769646811	2.840057508	2.615359668	2.4446995	1.422622839	1.901858301	2.002428194	1.729024516	2.89885651	2.680009434	2.739603004	2.472556537
ENSMUSG00000000149	36.54228933	35.21938367	34.49904549	33.81129903	39.28928081	38.64624169	33.83050333	35.56778975	44.04052399	44.8389408	41.9458134	39.66510884
ENSMUSG00000000154	2.485439305	2.834160394	3.125385824	2.701186832	2.601996777	1.950312527	2.348588094	2.807369387	1.898607764	2.059557046	2.375151943	1.825320627
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	0.079623983	0.035330018	0.149730047	0.022915938	0.136230852	0.108299645	0.114113685	0.135379444	0.116749694	0.180948827	0.058816129	0.061373292
ENSMUSG00000000168	8.833197653	8.99384379	10.26790304	9.046190742	9.459389026	9.920626758	11.30300085	9.905324348	10.48196896	11.17246765	10.09089393	10.17241873
ENSMUSG00000000171	66.60457673	72.31511046	67.89777733	69.27762218	75.11396582	74.04108874	78.85241716	79.27896276	90.73037829	102.666697	95.34760649	100.1739338
ENSMUSG00000000182	0.125344126	0.139041342	0	0	0.053613674	0	0.064156371	0.076112289	0.045946861	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	55.79662662	65.74292205	66.25690172	54.95317062	103.9936382	159.9260678	171.8238156	97.84134002	49.98517225	35.12156114	56.17783495	65.97905068
ENSMUSG00000000194	4.230919042	4.024964692	4.634616528	4.216516004	3.707247075	4.504539041	4.709570606	4.165477187	3.699095873	3.517254512	3.900263616	3.733431697
ENSMUSG00000000197	0	0	0	0.091972947	0	0	0.032713888	0	0	0	0.014753631	0
ENSMUSG00000000202	0	0	0	0	0	0.019392775	0	0	0	0	0	0
ENSMUSG00000000204	1.067763215	0.674475658	0.854050638	0.704239114	2.029850357	1.336323109	2.110197276	1.368790068	1.130726727	1.275857495	0.917444537	0.885889771
ENSMUSG00000000214	0	0	0	0	0	0	0	0.018190737	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0.054696383	0.065031899	0.0969347	0.038909949	0	0	0.030849541	0.105287951	0.03662186
ENSMUSG00000000223	0	0.010626991	0	0.027571733	0.004097717	0.01221588	0.009806999	0.017451887	0.038629126	0.011663139	0.04422857	0.069227259
ENSMUSG00000000244	3.330404965	3.20111769	3.350630346	2.98589398	1.275355836	1.13393528	1.053128798	1.651730069	4.045938266	3.446009646	3.944503264	3.998399404
ENSMUSG00000000247	0.028067429	0.062269101	0.032987372	0.020194653	0.012005333	0.047719489	0.014366085	0.08521645	0.298368176	0.239191522	0.077747503	0.189298083
ENSMUSG00000000248	0.038124454	0.021145288	0	0	0.032614086	0.032409086	0	0	0.013975118	0.015471324	0	0
ENSMUSG00000000253	27.29798624	23.66271736	25.45511715	30.10841219	21.63945796	27.30485337	27.81900499	17.71752925	27.5927914	30.74593661	31.73311469	27.83678665
ENSMUSG00000000263	0	0	0.021467762	0	0.015625836	0.062110473	0.037397062	0	0	0	0	0
ENSMUSG00000000266	0.012964662	0.0071907	0.030474478	0.055968827	0.016636197	0.011021085	0.013271714	0.007872488	0	0.010522406	0	0.012491274
ENSMUSG00000000275	22.98305873	24.56294701	20.05981516	22.03990062	52.22378167	35.62059546	25.30233705	40.77652572	17.40573976	13.50825408	16.401628	19.43787334
ENSMUSG00000000276	2.30469308	1.981873216	2.38083087	1.997531575	2.994303509	2.546380615	2.311683319	2.565024616	1.879545256	1.482416233	1.87044964	2.041361149
ENSMUSG00000000278	47.43740203	51.05761201	40.84284209	51.09964548	50.96970461	49.17455258	47.39543493	50.10468017	59.65892109	61.73399175	55.31433285	50.2496978
ENSMUSG00000000282	11.25671457	11.2444491	10.68655085	10.35284983	12.4390528	8.584830947	7.306520458	11.89563025	9.574745926	8.350454086	9.675169804	8.504630557
ENSMUSG00000000290	229.1438908	229.6882432	225.4109092	226.8783509	245.3655617	250.5821269	254.627406	239.354177	227.6536918	216.8788585	216.9936668	213.956878
ENSMUSG00000000295	0.58436425	0.648221758	0.908345114	0.949409851	1.112685983	1.009544923	1.11922071	0.984399071	1.064129615	0.826170247	1.200973967	0.926270132
ENSMUSG00000000296	0.269188135	0.099534726	0.105458051	0	0.15352045	0.076277739	0.275563513	0	0	0	0	0.172906052
ENSMUSG00000000301	0.207975777	0.188756773	0.199989715	0.353693571	0.226438196	0.128579938	0.212901418	0.160730725	0.304947172	0.322250211	0.122202662	0.255031394
ENSMUSG00000000303	10.1376192	10.67641709	11.47042254	8.974324232	9.93107059	11.91122819	12.22939877	11.91821572	8.045785345	7.022761368	10.03354666	9.962546128
ENSMUSG00000000305	0	0	0.014495048	0	0	0	0	0	0	0	0	0
ENSMUSG00000000308	0	0	0.014880872	0.109319666	0	0	0	0.030753468	0	0	0	0
ENSMUSG00000000317	0	0.028648455	0	0	0.022093413	0	0.026437905	0.031364764	0	0	0	0
ENSMUSG00000000318	0.038577239	0.128378518	0.045339447	0.037008682	0.044001903	0.076519316	0.131636305	0.046850252	0.056564375	0.083493702	0.035619982	0.024779094
ENSMUSG00000000320	0	0.047454562	0	0	0.036596502	0.018183235	0.043792909	0	0.031363163	0.03472097	0.07900063	0.04121768
ENSMUSG00000000325	0.444846535	0.278712378	0.363072038	0.367486924	0.324172272	0.4131727	0.421650147	0.470213512	0.356328306	0.280814538	0.338484683	0.313515551
ENSMUSG00000000326	40.75538353	44.67661249	42.63469593	40.60425648	38.81654542	44.69248935	45.56923772	43.37535613	45.34637595	47.9452007	44.59236408	43.91073118
ENSMUSG00000000339	3.424612085	2.883793259	3.261060673	3.381289962	4.234065664	4.207451926	4.836357777	4.553683804	5.699451551	5.396675434	5.447100374	5.105898975
ENSMUSG00000000340	6.243133843	6.045345451	7.134800285	5.21167246	6.284999611	7.271749438	8.544865591	7.28876777	7.965563132	7.138682988	9.29971158	9.305241331
ENSMUSG00000000346	196.1818853	193.378638	203.9353684	216.2775843	239.03689	208.8481997	211.4719068	208.7650056	195.3145721	183.2281284	204.7703031	196.8168469
ENSMUSG00000000355	15.18169948	13.20415439	12.70561352	15.16345955	11.28467538	10.45067874	11.22646193	11.04351955	14.53504434	15.55271188	15.60347189	15.83063822
